elecyear,dem,rep,inc.dem,as.factor(pres),chng.lnrdipc.all,fatalities,timeforchange,chng.lnrdipc.last,pres,chng.lnrdipc.early,inc.voteshare
1948,52.31853636,47.68146364,1,NA,NA,NA,NA,NA,NA,NA,52.31853636
1952,44.70981131,55.29018869,1,NA,NA,NA,NA,NA,NA,NA,44.70981131
1956,42.90575183,57.09424817,0,NA,NA,NA,NA,NA,NA,NA,57.09424817
1960,50.08740064,49.91259936,0,Eisenhower,NA,0,2,-0.14281560704123564,NA,NA,49.91259936
1964,61.20333648,38.79666352,1,Kennedy/Johnson,3.7153822141835935,1,1,5.680959659517981,Kennedy/Johnson,3.060189732405464,61.20333648
1968,49.42470457,50.57529543,1,Johnson,3.646960887090156,146,2,3.3947100981624345,Johnson,3.7310444833993963,49.42470457
1972,38.20844,61.79156,0,Nixon,3.9002650260613336,0,1,6.345174591494818,Nixon,3.085295170916839,61.79156
1976,51.04913922,48.95086078,0,Nixon/Ford,0.8848575039343665,2,2,2.22405150470113,Nixon/Ford,0.4384595036787786,48.95086078
1980,44.84244123,55.15755877,1,Carter,1.5497096081845463,0,1,0.8143117240333453,Carter,1.7948422362349465,44.84244123
1984,40.87664881,59.12335119,0,Reagan 1,2.8154085716217914,0,1,4.871975470418377,Reagan 1,2.1298862720229295,59.12335119
1988,46.16754471,53.83245529,0,Reagan 2,2.4063279606507226,0,2,3.4655025820240937,Reagan 2,2.0532697535262656,53.83245529
1992,53.62125024,46.37874976,0,Bush,1.0332249967516471,0,3,2.552282522433025,Bush,0.5268724881911879,46.37874976
1996,54.73641015,45.26358985,1,Clinton 1,1.5367554331701783,0,1,2.0156975784477282,Clinton 1,1.377108051410995,54.73641015
2000,50.26162358,49.73837642,1,Clinton 2,3.326272126059493,0,2,3.79036928004286,Clinton 2,3.171573074731704,50.26162358
2004,48.76699772,51.23300228,0,GWB 1,1.9618968002315995,4,1,2.5356407222588473,GWB 1,1.7706488262225168,51.23300228
2008,53.68884371,46.31115629,0,GWB 2,0.9349254081346903,14,2,0.2273801549861787,GWB 2,1.1707738258508609,46.31115629
2012,52,48,1,Obama 1,1.4213520625943943,5,1,4.036716989062228,Obama 1,0.5495637537717831,52
2016,51,49,1,Obama 2,0.9465874760444581,7.428988581052543,2,0.849051917837329,Obama 2,0.9790993287801678,51
2020,52,48,0,Trump,2.825610489178354,0,1,3.3667139072703023,Trump,2.6452426831477047,48
2024,NA,NA,1,Biden,-0.14845694517418906,0,1,NA,Biden,-0.14845694517418906,NA
