GEOID,NAME,totworkers.all,totworkers.16.19,totworkers.20.24,totworkers.25.44,totworkers.45.54,totworkers.55.59,totworkers.60.64,totworkers.65plus,pubtr.all,pubtr.16.19,pubtr.20.24,pubtr.25.44,pubtr.45.54,pubtr.55.59,pubtr.60.64,pubtr.65plus,county.name
36061000100,"Census Tract 1, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York
36061000201,"Census Tract 2.01, New York County, New York",740,19,68,402,121,126,0,4,420,0,58,293,69,0,0,0,New York
36061000202,"Census Tract 2.02, New York County, New York",2575,0,179,1283,761,138,66,148,1384,0,57,772,372,66,16,101,New York
36061000500,"Census Tract 5, New York County, New York",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,New York
36061000600,"Census Tract 6, New York County, New York",3291,16,162,1682,778,201,350,102,1699,16,51,1125,183,118,135,71,New York
36061000700,"Census Tract 7, New York County, New York",6899,70,889,4791,690,245,153,61,4055,0,663,2739,527,0,65,61,New York
36061000800,"Census Tract 8, New York County, New York",3824,0,186,1874,836,416,312,200,1605,0,60,936,305,109,113,82,New York
36061000900,"Census Tract 9, New York County, New York",1450,15,36,1170,107,52,21,49,713,11,24,591,72,11,1,3,New York
36061001001,"Census Tract 10.01, New York County, New York",732,14,12,291,200,45,76,94,366,14,12,125,83,35,49,48,New York
36061001002,"Census Tract 10.02, New York County, New York",1577,0,98,760,304,240,157,18,932,0,98,358,178,217,68,13,New York
36061001200,"Census Tract 12, New York County, New York",1746,5,99,853,410,149,161,69,884,0,87,457,190,79,63,8,New York
36061001300,"Census Tract 13, New York County, New York",3304,0,187,2457,457,67,91,45,1724,0,152,1241,214,34,66,17,New York
36061001401,"Census Tract 14.01, New York County, New York",1521,36,36,608,420,135,182,104,803,18,27,328,206,70,103,51,New York
36061001402,"Census Tract 14.02, New York County, New York",1487,7,117,1062,74,73,55,99,940,7,69,731,55,56,22,0,New York
36061001501,"Census Tract 15.01, New York County, New York",4067,88,80,2301,629,203,533,233,2010,0,35,1121,403,87,297,67,New York
36061001502,"Census Tract 15.02, New York County, New York",5791,21,1015,3785,583,227,65,95,2955,0,531,2071,221,31,28,73,New York
36061001600,"Census Tract 16, New York County, New York",3825,0,248,2409,659,277,119,113,1624,0,94,938,341,126,75,50,New York
36061001800,"Census Tract 18, New York County, New York",3544,69,368,1991,608,189,242,77,1767,22,242,1097,245,0,130,31,New York
36061002000,"Census Tract 20, New York County, New York",1182,50,60,564,270,94,100,44,605,9,31,309,116,61,43,36,New York
36061002100,"Census Tract 21, New York County, New York",3996,0,185,2378,1012,193,74,154,2168,0,77,1427,528,63,0,73,New York
36061002201,"Census Tract 22.01, New York County, New York",2579,0,498,1458,297,215,86,25,1507,0,242,917,203,132,13,0,New York
36061002202,"Census Tract 22.02, New York County, New York",1498,0,129,1157,162,24,26,0,742,0,77,550,86,19,10,0,New York
36061002400,"Census Tract 24, New York County, New York",855,9,72,448,165,94,67,0,589,0,64,356,94,72,3,0,New York
36061002500,"Census Tract 25, New York County, New York",1388,62,34,653,289,195,124,31,702,48,21,382,125,103,14,9,New York
36061002601,"Census Tract 26.01, New York County, New York",1748,29,165,996,239,172,147,0,933,8,136,479,145,85,80,0,New York
36061002602,"Census Tract 26.02, New York County, New York",2370,13,194,1627,208,205,50,73,1442,0,136,1134,80,35,0,57,New York
36061002700,"Census Tract 27, New York County, New York",565,0,11,236,189,57,39,33,359,0,11,140,117,52,38,1,New York
36061002800,"Census Tract 28, New York County, New York",3469,10,288,1943,457,353,179,239,1897,10,143,953,334,109,164,184,New York
36061002901,"Census Tract 29.01, New York County, New York",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,New York
36061002902,"Census Tract 29.02, New York County, New York",1719,0,34,803,382,207,201,92,580,0,10,368,67,104,31,0,New York
36061003001,"Census Tract 30.01, New York County, New York",2490,0,449,1525,386,89,0,41,1373,0,352,825,115,53,0,28,New York
36061003002,"Census Tract 30.02, New York County, New York",1727,0,137,1009,257,141,87,96,910,0,112,599,144,17,6,32,New York
36061003100,"Census Tract 31, New York County, New York",1376,62,396,627,107,107,37,40,561,0,71,375,48,21,24,22,New York
36061003200,"Census Tract 32, New York County, New York",4166,0,109,2320,773,666,90,208,2425,0,94,1188,520,454,31,138,New York
36061003300,"Census Tract 33, New York County, New York",3330,0,129,1606,956,320,172,147,1434,0,47,621,378,206,78,104,New York
36061003400,"Census Tract 34, New York County, New York",4318,0,687,2619,91,431,253,237,2365,0,507,1356,0,377,47,78,New York
36061003601,"Census Tract 36.01, New York County, New York",1612,0,156,892,237,53,133,141,955,0,104,420,157,23,118,133,New York
36061003602,"Census Tract 36.02, New York County, New York",1925,39,203,1161,250,74,147,51,1011,0,83,674,105,46,86,17,New York
36061003700,"Census Tract 37, New York County, New York",1861,6,59,901,280,98,193,324,847,0,54,472,167,32,104,18,New York
36061003800,"Census Tract 38, New York County, New York",6021,23,672,4006,164,326,394,436,2332,0,486,1344,71,97,121,213,New York
36061003900,"Census Tract 39, New York County, New York",3815,81,207,1990,719,192,227,399,1339,0,112,799,171,58,61,138,New York
36061004001,"Census Tract 40.01, New York County, New York",2317,17,115,1621,182,30,222,130,1133,0,99,715,114,30,121,54,New York
36061004002,"Census Tract 40.02, New York County, New York",3219,148,303,2375,213,28,75,77,1765,16,105,1440,127,28,49,0,New York
36061004100,"Census Tract 41, New York County, New York",4458,43,462,2455,671,297,211,319,2176,19,259,1388,229,170,48,63,New York
36061004200,"Census Tract 42, New York County, New York",2422,281,436,1066,243,186,114,96,1067,39,85,722,156,10,47,8,New York
36061004300,"Census Tract 43, New York County, New York",2430,1,203,1645,421,83,27,50,1391,0,88,1007,199,38,23,36,New York
36061004400,"Census Tract 44, New York County, New York",9481,36,1048,5574,1137,621,461,604,5275,0,766,3111,566,261,168,403,New York
36061004500,"Census Tract 45, New York County, New York",495,23,7,251,90,59,42,23,235,23,0,121,55,12,14,10,New York
36061004700,"Census Tract 47, New York County, New York",1814,26,96,1009,235,85,125,238,979,26,55,594,118,51,79,56,New York
36061004800,"Census Tract 48, New York County, New York",4203,179,565,1986,589,334,232,318,2174,30,219,1135,236,195,137,222,New York
36061004900,"Census Tract 49, New York County, New York",3073,0,273,1466,549,127,270,388,1460,0,182,753,184,61,137,143,New York
36061005000,"Census Tract 50, New York County, New York",3333,0,99,2010,522,125,248,329,2052,0,87,1380,267,19,139,160,New York
36061005200,"Census Tract 52, New York County, New York",1703,80,135,781,295,101,145,166,597,0,11,370,92,41,37,46,New York
36061005400,"Census Tract 54, New York County, New York",3309,13,85,1698,853,235,99,326,1708,0,42,1063,380,104,12,107,New York
36061005501,"Census Tract 55.01, New York County, New York",2738,0,155,1356,442,273,169,343,919,0,64,555,149,71,27,53,New York
36061005502,"Census Tract 55.02, New York County, New York",1040,0,74,643,171,46,38,68,503,0,35,327,106,26,0,9,New York
36061005600,"Census Tract 56, New York County, New York",2369,0,162,1450,367,38,44,308,1222,0,105,765,216,21,16,99,New York
36061005700,"Census Tract 57, New York County, New York",1673,0,76,980,218,153,110,136,852,0,21,632,84,19,42,54,New York
36061005800,"Census Tract 58, New York County, New York",2925,6,42,2328,268,124,91,66,1569,0,17,1247,181,70,38,16,New York
36061005900,"Census Tract 59, New York County, New York",3021,187,76,1357,585,289,135,392,1037,16,34,593,108,103,79,104,New York
36061006000,"Census Tract 60, New York County, New York",2961,6,39,1692,660,96,137,331,1230,6,11,759,254,96,32,72,New York
36061006100,"Census Tract 61, New York County, New York",2512,264,119,1111,399,187,242,190,1190,17,66,672,150,107,142,36,New York
36061006200,"Census Tract 62, New York County, New York",1951,74,231,993,319,183,69,82,755,14,70,287,168,154,43,19,New York
