"","GEOID","NAME","totalpop","white.count","black.count","asian.count","latinx.count","poverty.count","medincome","poverty.pct","white.pct","black.pct","popcat","total.tax","govid","itemcode","amount.thousands","survey.year","year.of.data","origin","description","sales.tax.pct","share.held.by.1pct","state.sales.rate","avg.local.rate","Combined.Rate","max.local.rate","state.region","state.area","presidential_year","abb","population_2020","fips","mrp_ideology_se","mrp_ideology","irt_ideology_unweighted","self_ideology","self_ideology_se","irt_ideology_unweighted_sd","irt_ideology_unweighted_se","sample_size","survey_period","demshare_pres","taxpercap","salestaxpercap"
"1","01","Alabama",4876250,3194929,1291524,65410,208626,795989,50536,16.3237938990003,65.5202050756216,26.4860087157139,1,11782220,"01000000000000","T09",3116142,19,19,24,"Tax - General Sales",26.4478341093614,16.3,4,5.14,9.14,7,"South",51609,2016,"AL",5024279,1,0.036346913161815,0.289730632049594,0.234575978250551,3.31255230125523,0.0213626953376018,0.910886569521048,0.0176084546903511,2676,"2012-2016",0.356258564060393,2.41624609074596,0.639044757754422
"2","02","Alaska",737068,446897,22857,44917,51870,76933,77640,10.4377072400376,60.6317191900883,3.10107072888797,0,1780911,NA,NA,0,NA,NA,NA,NA,0,11.3,0,1.43,1.43,7.5,"West",589757,2016,"AK",733391,2,0.0504973612339285,0.196959866720902,0.167456599722617,3.22520107238606,0.0533447544911422,1.05549439149583,0.0531750392399518,394,"2012-2016",0.416143452889319,2.41620990193578,0
"3","04","Arizona",7050299,3857007,297107,226597,2208663,1043764,58945,14.8045352402785,54.706998951392,4.21410496207324,2,18163903,"03000000000000","T09",8358260,19,19,24,"Tax - General Sales",46.0157709496687,17.5,5.6,2.77,8.37,5.6,"West",113909,2016,"AZ",7151502,4,0.0354055566106464,0.139454470308733,0.169865888275344,3.2092385572664,0.0155904472159725,1.01910983188853,0.0143012712265286,5078,"2012-2016",0.481108795538633,2.57633087617986,1.18551851488852
"4","05","Arkansas",2999370,2172453,456899,44927,224130,496260,47597,16.5454745496554,72.4303103651767,15.2331656314493,1,10217866,"04000000000000","T09",3573456,19,19,24,"Tax - General Sales",34.9726253994719,18.5,6.5,2.93,9.43,5.13,"South",53104,2016,"AR",3011524,5,0.0404669114383448,0.274515489302922,0.224171454981542,3.27629987908102,0.0261843716868051,0.896965761753436,0.0208935962555886,1843,"2012-2016",0.357148623102295,3.40667073418751,1.19140219446084
"5","06","California",39283497,14605312,2169155,5610931,15327688,5149742,75235,13.1091740636023,37.1792562154026,5.52179710477405,3,187638267,"05000000000000","T09",41539499,19,19,24,"Tax - General Sales",22.1380743193498,23.7,7.25,1.31,8.56,2.5,"West",158693,2016,"CA",39538223,6,0.0341112094570971,-0.114719734647056,-0.133269461482466,2.90352463958779,0.00800757486179033,0.964596926311069,0.00690443613605325,19518,"2012-2016",0.661282205427299,4.77651638294829,1.05742874673301
"6","08","Colorado",5610349,3818321,221526,174660,1208172,565873,72331,10.0862352769854,68.0585289792132,3.94852441443482,2,15869834,"06000000000000","T09",3375058,19,19,24,"Tax - General Sales",21.2671285660581,17.2,2.9,4.73,7.63,8.3,"West",104247,2016,"CO",5773714,8,0.0356603725269637,0.081154721440524,0.0946201761926483,3.14510278113664,0.0194781190821455,1.04129195568675,0.017590997407106,3504,"2012-2016",0.526833333726824,2.8286714427213,0.601577192434909
"7","09","Connecticut",3575074,2392013,354120,159989,574240,344146,78444,9.62626228156396,66.9080695952028,9.90524951371636,1,19131944,"07000000000000","T09",4589035,19,19,24,"Tax - General Sales",23.9862452033102,27.3,6.35,0,6.35,0,"Northeast",5009,2016,"CT",3605944,9,0.0359446858217012,-0.147330173832814,-0.12337694475293,2.95189163942083,0.0217041167162717,0.900066036719034,0.0185472240608427,2355,"2012-2016",0.571415475172636,5.35148195533855,1.2836195838184
"8","10","Delaware",957248,596497,207402,36656,88364,109400,68287,11.4285953065454,62.3137368790533,21.6664855920305,0,4596190,NA,NA,0,NA,NA,NA,NA,0,14.7,NA,NA,NA,NA,"South",2057,2016,"DE",989948,10,0.043085849273918,-0.0165713918723462,-0.0651100035198136,2.96169630642955,0.0392634157164058,0.906172914418459,0.032098291460952,797,"2012-2016",0.559986214436812,4.80146210804306,0
"9","11","District of Columbia",692683,253373,314774,27188,76191,107140,86420,15.4673927323177,36.578492614948,45.4427205518253,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.5,6,0,6,0,NA,NA,2016,"DC",689545,11,0.0484559039553281,-0.443031568033773,-0.552566404296125,2.44050104384134,0.0456048081889162,0.79281351896362,0.0353498076135229,503,"2012-2016",0.956951883418541,NA,NA
"10","12","Florida",20901636,11266347,3202687,559988,5346684,2870487,55660,13.7333125502712,53.9017472125148,15.3226618241749,3,45017095,"10000000000000","T09",28006498,19,19,24,"Tax - General Sales",62.213028184071,28.5,6,1.05,7.05,2.5,"South",58560,2016,"FL",21538187,12,0.0338339655911057,0.0257699861812052,0.0511389948453087,3.11870985955254,0.00869895796767644,0.903208469795721,0.00730893774847716,15271,"2012-2016",0.493811645272245,2.15375939950346,1.33991894223017
